Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2004-02-05,1.3377,1.3334,1.3393,1.3287,0.0,0.32248387580620097,0.797772258598628,59.576950397764115,0.31496062992126816,-0.007499062617166707,84.90566037735798,NaN,CAD
2004-02-06,1.3208,1.3378,1.3408,1.3196,0.0,-1.2707430109134443,1.6065474386177447,20.902241641443386,-1.263362487852282,0.007475517679611521,5.660377358489973,NaN,CAD
2004-02-09,1.328,1.3285,1.3308,1.3216,0.0,-0.03763643206623479,0.6961259079903082,94.59344471535475,0.5451241671714291,0.5829800121138762,69.56521739130487,NaN,CAD
2004-02-10,1.3309,1.3282,1.3325,1.3215,0.0,0.20328263815689862,0.832387438516835,75.57836306142345,0.21837349397588746,0.015060240963848948,85.4545454545452,NaN,CAD
2004-02-11,1.3145,1.331,1.3341,1.3119,0.0,-1.2396694214875992,1.6922021495540784,26.74223810587456,-1.232248854158835,0.007513712525364369,11.711711711711423,NaN,CAD
2004-02-12,1.3189,1.3153,1.3216,1.314,0.0,0.2737018170759553,0.5783866057838649,52.67839636344658,0.33472803347280866,0.06085964244959552,64.47368421052462,NaN,CAD
2004-02-13,1.3213,1.3187,1.3232,1.307,0.0,0.19716387351178533,1.2394797245600664,84.09301341482085,0.18196982333762435,-0.015164151944802029,88.27160493827152,NaN,CAD
2004-02-16,1.3169,1.3156,1.3194,1.3136,0.0,0.09881422924900019,0.4415347137636916,77.62028076870862,-0.3330053734957983,-0.4313933247559132,56.8965517241374,NaN,CAD
2004-02-17,1.3102,1.3172,1.3172,1.3075,0.0,-0.5314303067112003,0.7418738049713047,28.366481853102265,-0.5087705976156043,0.022780773027553103,27.835051546391494,NaN,CAD
2004-02-18,1.3229,1.3097,1.3271,1.3081,0.0,1.007864396426661,1.4524883418698842,30.61118858075167,0.9693176614257393,-0.038162112654549496,77.89473684210525,NaN,CAD
2004-02-19,1.328,1.3231,1.3346,1.3223,0.0,0.3703423777492443,0.9301973833471866,60.186688935135635,0.38551666792652206,0.015118300702998688,46.34146341463454,NaN,CAD
2004-02-20,1.336,1.3284,1.3509,1.3271,0.0,0.5721168322794457,1.7933840705297355,68.09847696982989,0.6024096385542244,0.030120481927697895,37.394957983193756,NaN,CAD
2004-02-23,1.3351,1.3376,1.3434,1.3331,0.0,-0.1869019138755923,0.7726352111619539,75.80981151577166,-0.06736526946108379,0.11976047904189713,19.417475728155402,NaN,CAD
2004-02-24,1.3286,1.3349,1.3398,1.3264,0.0,-0.47194546407970384,1.0102533172497097,53.28444301826028,-0.4868549172346581,-0.014980151299526234,16.417910447760946,NaN,CAD
2004-02-25,1.3356,1.3286,1.34,1.3258,0.0,0.5268703898840821,1.0710514406396143,50.80811528814678,0.5268703898840821,0.0,69.01408450704095,NaN,CAD
2004-02-26,1.3435,1.3356,1.3474,1.3344,0.0,0.5914944594189953,0.9742206235011874,39.28536871932948,0.5914944594189953,0.0,69.99999999999966,NaN,CAD
2004-02-27,1.3347,1.3434,1.3497,1.3331,0.0,-0.6476105404198296,1.2452179131347885,47.99219208230833,-0.6550055824339318,-0.00744324525493445,9.638554216867776,NaN,CAD
2004-03-01,1.337,1.3343,1.3405,1.3332,0.0,0.20235329386193435,0.5475547554755433,63.04419022236535,0.17232336854724473,-0.02996928148647493,52.054794520547695,NaN,CAD
2004-03-02,1.3436,1.3371,1.3452,1.3369,0.0,0.48612669209482373,0.6208392549928998,21.69846088414894,0.4936424831712749,0.007479431563206518,80.72289156626445,NaN,CAD
2004-03-03,1.3403,1.3432,1.3584,1.3371,0.0,-0.21590232281119004,1.592999775633852,86.44680770747235,-0.24560881214645836,-0.029770765108660946,15.023474178404118,NaN,CAD
