Date,Price,Tckr,Rvn,Title,Freq,Units,Adjustment,LastUpdt,Popularity,Since,Notes
2019-01-28,2.39,SOFR,-0.4166666666666578,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-29,2.4,SOFR,0.41841004184099523,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-30,2.39,SOFR,-0.4166666666666578,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-31,2.58,SOFR,7.9497907949790765,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-01,2.47,SOFR,-4.263565891472863,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-04,2.4,SOFR,-2.834008097166003,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-05,2.4,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-06,2.38,SOFR,-0.8333333333333341,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-07,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-08,2.37,SOFR,-0.4201680672268818,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-11,2.4,SOFR,1.2658227848101182,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-12,2.39,SOFR,-0.4166666666666578,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-13,2.38,SOFR,-0.4184100418410139,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-14,2.39,SOFR,0.4201680672269005,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-15,2.43,SOFR,1.673640167364018,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-19,2.4,SOFR,-1.234567901234578,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-20,2.39,SOFR,-0.4166666666666578,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-21,2.39,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-22,2.4,SOFR,0.41841004184099523,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-25,2.38,SOFR,-0.8333333333333341,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-26,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-27,2.37,SOFR,-0.4201680672268818,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-28,2.58,SOFR,8.860759493670885,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-01,2.38,SOFR,-7.751937984496131,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-04,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-05,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-06,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-07,2.38,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-08,2.39,SOFR,0.4201680672269005,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-11,2.38,SOFR,-0.4184100418410139,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-12,2.39,SOFR,0.4201680672269005,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-13,2.4,SOFR,0.41841004184099523,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-14,2.42,SOFR,0.8333333333333341,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-15,2.46,SOFR,1.6528925619834725,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-18,2.41,SOFR,-2.0325203252032447,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-19,2.42,SOFR,0.41493775933609073,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-20,2.47,SOFR,2.06611570247935,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-21,2.44,SOFR,-1.214574898785435,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-22,2.4,SOFR,-1.6393442622950833,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-25,2.4,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-26,2.4,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-27,2.4,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-28,2.43,SOFR,1.2500000000000104,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-29,2.65,SOFR,9.053497942386821,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-01,2.46,SOFR,-7.169811320754715,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-02,2.46,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-03,2.47,SOFR,0.40650406504065983,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-04,2.46,SOFR,-0.40485829959515096,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-05,2.46,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-08,2.46,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-09,2.45,SOFR,-0.4065040650406418,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-10,2.45,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-11,2.44,SOFR,-0.40816326530613184,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-12,2.44,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-15,2.47,SOFR,1.2295081967213217,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-16,2.47,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-17,2.5,SOFR,1.214574898785417,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-18,2.5,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-22,2.46,SOFR,-1.6000000000000014,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-23,2.46,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-24,2.44,SOFR,-0.8130081300813016,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-25,2.45,SOFR,0.40983606557377994,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-26,2.46,SOFR,0.40816326530611374,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-29,2.48,SOFR,0.8130081300813016,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-30,2.76,SOFR,11.290322580645155,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-01,2.54,SOFR,-7.971014492753614,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-02,2.5,SOFR,-1.5748031496063006,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-03,2.43,SOFR,-2.7999999999999936,NA,NA,NA,NA,NA,NA,NA,NA
